hu1,hu2,hu3,hu4,hu5,hu6,hu7,etiqueta
0.19395693132814512,0.0005479682105684452,0.004618030383577407,1.3729087243668273e-05,-2.858111554555328e-09,-2.6031612212131365e-07,-1.944628533926946e-09,1
0.19391595913810442,0.0003621184503890646,0.004689957432656953,1.1358667419397183e-05,-1.8647758162135723e-09,-1.4479908458750802e-07,-1.8427386309698404e-09,1
0.19408988152571793,0.0002534424639244397,0.004764799333181184,9.67439624935767e-06,-6.47523485398543e-10,-4.094758997073473e-08,-1.9735936348686513e-09,1
0.1970093120314251,0.00134637978911435,0.004886592278046357,3.817365052762333e-05,-1.5391810695961953e-08,-1.292925925256563e-06,-5.9094871005015584e-09,1
0.19409860304840845,0.0003326921972458059,0.004726348411788918,9.007627579245211e-06,-5.367685332227897e-10,-3.3444759472984705e-08,-1.7793693420827802e-09,1
0.19296960072390937,0.0002419686082126986,0.004560200407432807,6.850240737641339e-06,-1.488952499350805e-10,-7.812921052943149e-09,1.201549154631146e-09,1
0.1943567910051125,0.0005487245877713702,0.004704587753528118,2.1899002052021762e-05,4.973983383160342e-09,3.8444735291208816e-07,4.966606384775846e-09,1
0.1945360943174514,0.0004810418168016638,0.004756891629392476,1.5480327747699576e-05,-2.5233184045193487e-09,-1.8022674399447146e-07,-3.3585075125062784e-09,1
0.17452875113172428,0.002838245994210874,1.5409029886666473e-06,4.2537855713642396e-09,-5.894336286804788e-17,7.719981865410376e-11,-3.3930875176031507e-16,2
0.17598473717402183,0.0033323474553438996,2.7009783947966754e-06,1.0315056193771021e-07,-5.3276632539614264e-14,-5.826402313907775e-09,1.1224717578801368e-14,2
0.17421415273157506,0.002717362672218998,7.357959717790433e-06,1.0061980963910844e-08,-1.9739507214356006e-15,-4.4244603077908596e-11,-1.897141019742958e-15,2
0.17535397215490403,0.0030327289643089176,1.9573366990618005e-06,1.043841073063946e-09,3.579732914931925e-17,-5.978388474637491e-13,3.073718136986415e-17,2
0.368376899309953,0.04658615230833022,0.006434412431554895,0.0016194208517434547,-1.276333364290364e-06,-5.792724361018152e-05,5.0692927450086255e-06,2
0.17462811016387372,0.002875405067726241,4.66202047242625e-06,6.02163215948476e-08,-1.1893307516241797e-14,4.333152318280203e-11,2.96053496492393e-14,2
0.17509750873474728,0.0029451212597846224,1.6166159067271899e-06,1.7476836983399566e-08,-3.7237017373452723e-16,-8.561533657043993e-10,2.913937817975135e-15,2
0.15948051954516063,9.720359911325365e-05,1.329641287767268e-07,2.677189754726218e-10,5.814227327692509e-19,3.1476774020982005e-13,1.4877193473645698e-18,3
0.15926938409701213,3.235096497437658e-05,2.1897513828696122e-07,1.0344365814481013e-10,-3.773204804746115e-19,-4.5015107013897485e-13,-3.1625090476170624e-19,3
0.15930537435885872,4.473733916878998e-05,1.3463870993211695e-07,8.821760904419262e-11,-5.471227980119339e-20,-1.812796536129153e-13,2.990675960853642e-19,3
0.15920309516487663,1.3273130955129071e-05,6.426756657297178e-08,1.591480726692353e-11,1.2854736228940384e-20,4.8294364211181446e-14,9.685719335354523e-21,3
0.22948263239677516,0.01591593978341902,0.00576807293229354,0.00047404021621890336,4.241655195239308e-07,1.7612551661358606e-05,-6.591806431511617e-07,1
0.2339616619186625,0.0177401679364334,0.006069631226570308,0.0005740026792755575,7.086159305066225e-07,3.270052853322785e-05,-8.035941044275081e-07,1
0.2258054229231799,0.013637435553136207,0.005932822048301128,0.00040289302452044116,2.1715596106189535e-07,5.062238238201555e-06,-5.838169691862593e-07,1
0.23441871229835276,0.017715701549892656,0.006248434805037835,0.0006005123068906858,7.721299099364798e-07,3.508707540741016e-05,-8.70021539003472e-07,1
0.42397965875248994,0.1424870792706445,0.026654587432372638,0.01647889549865246,0.0003451574482659741,0.00614140968022356,1.1967207648815503e-05,1
0.43384329632090507,0.15141543387009632,0.027403036473916873,0.01742485686827967,0.0003805886098749016,0.006708439086243086,1.1477209669198452e-05,1
0.43926347426736634,0.15577683011680651,0.0301860574958684,0.01969294690278556,0.0004800364464604555,0.007724476334285761,1.0044333051658261e-05,1
0.5215667487166259,0.23770508046315258,0.03595510837468591,0.026995172943946325,0.0008410196615973559,0.013158549092528617,-3.290126810585857e-06,1
0.1595040239747062,0.00010581336393638523,8.327128127816315e-08,1.7683435400553629e-10,-4.740216928191687e-20,-1.3442922768680018e-13,6.769168998778465e-19,3
0.15921481224440281,1.268017100012988e-05,3.9698664336512435e-08,5.046270497574791e-13,6.052249274232884e-23,1.6963587158314926e-15,3.792631693887574e-23,3
0.16011352841413917,0.00030080967129860646,2.653607732166745e-07,6.330902932590735e-10,3.211937498951793e-18,4.703410804951455e-12,7.550983042902411e-18,3
